game,match_id,team,round,taken,flagsleft,start_rule,take_rule,movedfirst
1,15v16,,0,,21,21,3,
1,15v16,15,1,2,19,21,3,1
1,15v16,16,2,3,16,21,3,0
1,15v16,15,3,2,14,21,3,1
1,15v16,16,4,2,12,21,3,0
1,15v16,15,5,1,11,21,3,1
1,15v16,16,6,2,9,21,3,0
1,15v16,15,7,1,8,21,3,1
1,15v16,16,8,2,6,21,3,0
1,15v16,15,9,2,4,21,3,1
1,15v16,16,10,3,1,21,3,0
1,15v16,15,11,1,0,21,3,1
1,11v19,,0,,21,21,3,
1,11v19,11,1,2,19,21,3,1
1,11v19,19,2,2,17,21,3,0
1,11v19,11,3,1,16,21,3,1
1,11v19,19,4,1,15,21,3,0
1,11v19,11,5,3,12,21,3,1
1,11v19,19,6,1,11,21,3,0
1,11v19,11,7,2,9,21,3,1
1,11v19,19,8,3,6,21,3,0
1,11v19,11,9,2,4,21,3,1
1,11v19,19,10,2,2,21,3,0
1,11v19,11,11,2,0,21,3,1
1,2v9,,0,,21,21,3,
1,2v9,2,1,3,18,21,3,1
1,2v9,9,2,2,16,21,3,0
1,2v9,2,3,3,13,21,3,1
1,2v9,9,4,1,12,21,3,0
1,2v9,2,5,1,11,21,3,1
1,2v9,9,6,3,8,21,3,0
1,2v9,2,7,1,7,21,3,1
1,2v9,9,8,3,4,21,3,0
1,2v9,2,9,3,1,21,3,1
1,2v9,9,10,1,0,21,3,0
1,17v20,,0,,21,21,3,
1,17v20,17,1,3,18,21,3,1
1,17v20,20,2,3,15,21,3,0
1,17v20,17,3,3,12,21,3,1
1,17v20,20,4,2,10,21,3,0
1,17v20,17,5,1,9,21,3,1
1,17v20,20,6,1,8,21,3,0
1,17v20,17,7,3,5,21,3,1
1,17v20,20,8,1,4,21,3,0
1,17v20,17,9,3,1,21,3,1
1,17v20,20,10,1,0,21,3,0
1,6v7,,0,,21,21,3,
1,6v7,6,1,2,19,21,3,1
1,6v7,7,2,3,16,21,3,0
1,6v7,6,3,3,13,21,3,1
1,6v7,7,4,3,10,21,3,0
1,6v7,6,5,2,8,21,3,1
1,6v7,7,6,1,7,21,3,0
1,6v7,6,7,3,4,21,3,1
1,6v7,7,8,1,3,21,3,0
1,6v7,6,9,3,0,21,3,1
1,1v14,,0,,21,21,3,
1,1v14,1,1,3,18,21,3,1
1,1v14,14,2,3,15,21,3,0
1,1v14,1,3,3,12,21,3,1
1,1v14,14,4,2,10,21,3,0
1,1v14,1,5,2,8,21,3,1
1,1v14,14,6,1,7,21,3,0
1,1v14,1,7,3,4,21,3,1
1,1v14,14,8,1,3,21,3,0
1,1v14,1,9,3,0,21,3,1
1,4v18,,0,,21,21,3,
1,4v18,4,1,3,18,21,3,1
1,4v18,18,2,3,15,21,3,0
1,4v18,4,3,1,14,21,3,1
1,4v18,18,4,1,13,21,3,0
1,4v18,4,5,3,10,21,3,1
1,4v18,18,6,2,8,21,3,0
1,4v18,4,7,2,6,21,3,1
1,4v18,18,8,2,4,21,3,0
1,4v18,4,9,1,3,21,3,1
1,4v18,18,10,3,0,21,3,0
1,3v10,,0,,21,21,3,
1,3v10,3,1,1,20,21,3,1
1,3v10,10,2,1,19,21,3,0
1,3v10,3,3,3,16,21,3,1
1,3v10,10,4,1,15,21,3,0
1,3v10,3,5,3,12,21,3,1
1,3v10,10,6,1,11,21,3,0
1,3v10,3,7,3,8,21,3,1
1,3v10,10,8,1,7,21,3,0
1,3v10,3,9,3,4,21,3,1
1,3v10,10,10,2,2,21,3,0
1,3v10,3,11,2,0,21,3,1
1,5v8,,0,,21,21,3,
1,5v8,5,1,1,20,21,3,1
1,5v8,8,2,3,17,21,3,0
1,5v8,5,3,1,16,21,3,1
1,5v8,8,4,2,14,21,3,0
1,5v8,5,5,2,12,21,3,1
1,5v8,8,6,1,11,21,3,0
1,5v8,5,7,3,8,21,3,1
1,5v8,8,8,2,6,21,3,0
1,5v8,5,9,2,4,21,3,1
1,5v8,8,10,1,3,21,3,0
1,5v8,5,11,3,0,21,3,1
2,7v15,,0,,24,24,4,
2,7v15,15,1,1,23,24,4,1
2,7v15,7,2,1,22,24,4,0
2,7v15,15,3,3,19,24,4,1
2,7v15,7,4,2,17,24,4,0
2,7v15,15,5,3,14,24,4,1
2,7v15,7,6,4,10,24,4,0
2,7v15,15,7,3,7,24,4,1
2,7v15,7,8,2,5,24,4,0
2,7v15,15,9,4,1,24,4,1
2,7v15,7,10,1,0,24,4,0
2,11v17,,0,,25,25,4,
2,11v17,17,1,4,21,25,4,1
2,11v17,11,2,2,19,25,4,0
2,11v17,17,3,3,16,25,4,1
2,11v17,11,4,4,12,25,4,0
2,11v17,17,5,1,11,25,4,1
2,11v17,11,6,4,7,25,4,0
2,11v17,17,7,1,6,25,4,1
2,11v17,11,8,1,5,25,4,0
2,11v17,17,9,1,4,25,4,1
2,11v17,11,10,4,0,25,4,0
2,2v3,,0,,24,24,4,
2,2v3,2,1,3,21,24,4,1
2,2v3,3,2,2,19,24,4,0
2,2v3,2,3,3,16,24,4,1
2,2v3,3,4,1,15,24,4,0
2,2v3,2,5,4,11,24,4,1
2,2v3,3,6,1,10,24,4,0
2,2v3,2,7,4,6,24,4,1
2,2v3,3,8,1,5,24,4,0
2,2v3,2,9,4,1,24,4,1
2,2v3,3,10,1,0,24,4,0
2,2v20,,0,,25,25,2,
2,2v20,20,1,2,23,25,2,1
2,2v20,4,2,1,22,25,2,0
2,2v20,20,3,2,20,25,2,1
2,2v20,4,4,2,18,25,2,0
2,2v20,20,5,2,16,25,2,1
2,2v20,4,6,2,14,25,2,0
2,2v20,20,7,2,12,25,2,1
2,2v20,4,8,1,11,25,2,0
2,2v20,20,9,2,9,25,2,1
2,2v20,4,10,2,7,25,2,0
2,2v20,20,11,1,6,25,2,1
2,2v20,4,12,2,4,25,2,0
2,2v20,20,13,1,3,25,2,1
2,2v20,4,14,1,2,25,2,0
2,2v20,20,15,2,0,25,2,1
2,11v17,,0,,25,25,4,
2,11v17,17,1,4,21,25,4,1
2,11v17,11,2,2,19,25,4,0
2,11v17,17,3,3,16,25,4,1
2,11v17,11,4,4,12,25,4,0
2,11v17,17,5,1,11,25,4,1
2,11v17,11,6,4,7,25,4,0
2,11v17,17,7,1,6,25,4,1
2,11v17,11,8,1,5,25,4,0
2,11v17,17,9,1,4,25,4,1
2,11v17,11,10,4,0,25,4,0
2,9v16,,0,,25,25,3,
2,9v16,16,1,1,24,25,3,1
2,9v16,9,2,2,22,25,3,0
2,9v16,16,3,2,20,25,3,1
2,9v16,9,4,2,18,25,3,0
2,9v16,16,5,2,16,25,3,1
2,9v16,9,6,3,13,25,3,0
2,9v16,16,7,1,12,25,3,1
2,9v16,9,8,3,9,25,3,0
2,9v16,16,9,1,8,25,3,1
2,9v16,9,10,2,6,25,3,0
2,9v16,16,11,2,4,25,3,1
2,9v16,9,12,1,3,25,3,0
2,9v16,16,13,3,0,25,3,1
2,6v8,,0,,18,18,3,
2,6v8,8,1,3,15,18,3,1
2,6v8,6,2,1,14,18,3,0
2,6v8,8,3,3,11,18,3,1
2,6v8,6,4,1,10,18,3,0
2,6v8,8,5,3,7,18,3,1
2,6v8,6,6,3,4,18,3,0
2,6v8,8,7,2,2,18,3,1
2,6v8,6,8,2,0,18,3,0
2,5v14,,0,,19,19,4,
2,5v14,14,1,4,15,19,4,1
2,5v14,5,2,2,13,19,4,0
2,5v14,14,3,3,10,19,4,1
2,5v14,5,4,1,9,19,4,0
2,5v14,14,5,4,5,19,4,1
2,5v14,5,6,4,1,19,4,0
2,5v14,14,7,1,0,19,4,1
2,12v19,,0,,22,22,5,
2,12v19,19,1,5,17,22,5,1
2,12v19,12,2,5,12,22,5,0
2,12v19,19,3,5,7,22,5,1
2,12v19,12,4,1,6,22,5,0
2,12v19,19,5,5,1,22,5,1
2,12v19,12,6,1,0,22,5,0
