game,match_id,round,team,taken,flagsleft,start_rule,take_rule,movedfirst
1,15v16,0,,,21,21,3,
1,15v16,1,15,2,19,21,3,1
1,15v16,2,16,3,16,21,3,0
1,15v16,3,15,2,14,21,3,1
1,15v16,4,16,2,12,21,3,0
1,15v16,5,15,1,11,21,3,1
1,15v16,6,16,2,9,21,3,0
1,15v16,7,15,1,8,21,3,1
1,15v16,8,16,2,6,21,3,0
1,15v16,9,15,2,4,21,3,1
1,15v16,10,16,3,1,21,3,0
1,15v16,11,15,1,0,21,3,1
1,11v19,0,,,21,21,3,
1,11v19,1,11,2,19,21,3,1
1,11v19,2,19,2,17,21,3,0
1,11v19,3,11,1,16,21,3,1
1,11v19,4,19,1,15,21,3,0
1,11v19,5,11,3,12,21,3,1
1,11v19,6,19,1,11,21,3,0
1,11v19,7,11,2,9,21,3,1
1,11v19,8,19,3,6,21,3,0
1,11v19,9,11,2,4,21,3,1
1,11v19,10,19,2,2,21,3,0
1,11v19,11,11,2,0,21,3,1
1,2v9,0,,,21,21,3,
1,2v9,1,2,3,18,21,3,1
1,2v9,2,9,2,16,21,3,0
1,2v9,3,2,3,13,21,3,1
1,2v9,4,9,1,12,21,3,0
1,2v9,5,2,1,11,21,3,1
1,2v9,6,9,3,8,21,3,0
1,2v9,7,2,1,7,21,3,1
1,2v9,8,9,3,4,21,3,0
1,2v9,9,2,3,1,21,3,1
1,2v9,10,9,1,0,21,3,0
1,17v20,0,,,21,21,3,
1,17v20,1,17,3,18,21,3,1
1,17v20,2,20,3,15,21,3,0
1,17v20,3,17,3,12,21,3,1
1,17v20,4,20,2,10,21,3,0
1,17v20,5,17,1,9,21,3,1
1,17v20,6,20,1,8,21,3,0
1,17v20,7,17,3,5,21,3,1
1,17v20,8,20,1,4,21,3,0
1,17v20,9,17,3,1,21,3,1
1,17v20,10,20,1,0,21,3,0
1,6v7,0,,,21,21,3,
1,6v7,1,6,2,19,21,3,1
1,6v7,2,7,3,16,21,3,0
1,6v7,3,6,3,13,21,3,1
1,6v7,4,7,3,10,21,3,0
1,6v7,5,6,2,8,21,3,1
1,6v7,6,7,1,7,21,3,0
1,6v7,7,6,3,4,21,3,1
1,6v7,8,7,1,3,21,3,0
1,6v7,9,6,3,0,21,3,1
1,1v14,0,,,21,21,3,
1,1v14,1,1,3,18,21,3,1
1,1v14,2,14,3,15,21,3,0
1,1v14,3,1,3,12,21,3,1
1,1v14,4,14,2,10,21,3,0
1,1v14,5,1,2,8,21,3,1
1,1v14,6,14,1,7,21,3,0
1,1v14,7,1,3,4,21,3,1
1,1v14,8,14,1,3,21,3,0
1,1v14,9,1,3,0,21,3,1
1,4v18,0,,,21,21,3,
1,4v18,1,4,3,18,21,3,1
1,4v18,2,18,3,15,21,3,0
1,4v18,3,4,1,14,21,3,1
1,4v18,4,18,1,13,21,3,0
1,4v18,5,4,3,10,21,3,1
1,4v18,6,18,2,8,21,3,0
1,4v18,7,4,2,6,21,3,1
1,4v18,8,18,2,4,21,3,0
1,4v18,9,4,1,3,21,3,1
1,4v18,10,18,3,0,21,3,0
1,3v10,0,,,21,21,3,
1,3v10,1,3,1,20,21,3,1
1,3v10,2,10,1,19,21,3,0
1,3v10,3,3,3,16,21,3,1
1,3v10,4,10,1,15,21,3,0
1,3v10,5,3,3,12,21,3,1
1,3v10,6,10,1,11,21,3,0
1,3v10,7,3,3,8,21,3,1
1,3v10,8,10,1,7,21,3,0
1,3v10,9,3,3,4,21,3,1
1,3v10,10,10,2,2,21,3,0
1,3v10,11,3,2,0,21,3,1
1,5v8,0,,,21,21,3,
1,5v8,1,5,1,20,21,3,1
1,5v8,2,8,3,17,21,3,0
1,5v8,3,5,1,16,21,3,1
1,5v8,4,8,2,14,21,3,0
1,5v8,5,5,2,12,21,3,1
