group,round,quantity,a,b,Q,P,pi
1,1,100,162,1.5,631,0,0
2,1,100,162,1.5,631,0,0
3,1,12,162,1.5,631,0,0
4,1,75,162,1.5,631,0,0
5,1,43,162,1.5,631,0,0
6,1,3,162,1.5,631,0,0
8,1,105,162,1.5,631,0,0
9,1,100,162,1.5,631,0,0
10,1,48,162,1.5,631,0,0
11,1,45,162,1.5,631,0,0
1,2,40,119,1.5,1142,0,0
2,2,1000,119,1.5,1142,0,0
3,2,3,119,1.5,1142,0,0
4,2,16,119,1.5,1142,0,0
5,2,36,119,1.5,1142,0,0
6,2,10,119,1.5,1142,0,0
8,2,7,119,1.5,1142,0,0
9,2,0,119,1.5,1142,0,0
10,2,15,119,1.5,1142,0,0
11,2,15,119,1.5,1142,0,0
1,3,14,200,3.5,121,0,0
2,3,25,200,3.5,121,0,0
3,3,4,200,3.5,121,0,0
4,3,16,200,3.5,121,0,0
5,3,5,200,3.5,121,0,0
6,3,8,200,3.5,121,0,0
8,3,5,200,3.5,121,0,0
9,3,19,200,3.5,121,0,0
10,3,10,200,3.5,121,0,0
11,3,15,200,3.5,121,0,0
1,4,24,176,0.8,212,6.4,154
2,4,50,176,0.8,212,6.4,320
3,4,25,176,0.8,212,6.4,160
4,4,25,176,0.8,212,6.4,160
5,4,15,176,0.8,212,6.4,96
6,4,10,176,0.8,212,6.4,64
8,4,20,176,0.8,212,6.4,128
9,4,15,176,0.8,212,6.4,96
10,4,13,176,0.8,212,6.4,83.2
11,4,15,176,0.8,212,6.4,96
1,5,38,160,0.55,350,0,0
2,5,50,160,0.55,350,0,0
3,5,50,160,0.55,350,0,0
4,5,42,160,0.55,350,0,0
5,5,20,160,0.55,350,0,0
6,5,50,160,0.55,350,0,0
8,5,29,160,0.55,350,0,0
9,5,21,160,0.55,350,0,0
10,5,20,160,0.55,350,0,0
11,5,30,160,0.55,350,0,0
1,6,50,124,0.5,598,0,0
2,6,248,124,0.5,598,0,0
3,6,100,124,0.5,598,0,0
4,6,200,124,0.5,598,0,0
5,6,NA,124,0.5,598,0,NA
6,6,NA,124,0.5,598,0,NA
8,6,0,124,0.5,598,0,0
9,6,NA,124,0.5,598,0,NA
10,6,NA,124,0.5,598,0,NA
11,6,NA,124,0.5,598,0,NA
1,7,11,188,3.5,58,-15,-165
2,7,23,188,3.5,58,-15,-345
3,7,6,188,3.5,58,-15,-90
4,7,13,188,3.5,58,-15,-195
5,7,NA,188,3.5,58,-15,NA
6,7,NA,188,3.5,58,-15,NA
8,7,5,188,3.5,58,-15,-75
9,7,NA,188,3.5,58,-15,NA
10,7,NA,188,3.5,58,-15,NA
11,7,NA,188,3.5,58,-15,NA
1,8,14,70,2.5,33,-12.5,-175
2,8,NA,70,2.5,33,-12.5,NA
3,8,10,70,2.5,33,-12.5,-125
4,8,NA,70,2.5,33,-12.5,NA
5,8,NA,70,2.5,33,-12.5,NA
6,8,NA,70,2.5,33,-12.5,NA
8,8,9,70,2.5,33,-12.5,-112.5
9,8,NA,70,2.5,33,-12.5,NA
10,8,NA,70,2.5,33,-12.5,NA
11,8,NA,70,2.5,33,-12.5,NA
1,9,NA,105,3.5,30,0,NA
2,9,NA,105,3.5,30,0,NA
3,9,15,105,3.5,30,0,0
4,9,NA,105,3.5,30,0,NA
5,9,NA,105,3.5,30,0,NA
6,9,NA,105,3.5,30,0,NA
8,9,15,105,3.5,30,0,0
9,9,NA,105,3.5,30,0,NA
10,9,NA,105,3.5,30,0,NA
11,9,NA,105,3.5,30,0,NA
