"","group","round","model","buyer","price","cartype","resale_price","dealer","daler_profit"
"1",1,1,"Fiesta","Jack","620","good",780,"Zaki",350
"2",1,1,"Golf","Gabriel","200","lemon",200,"Zaki",350
"3",1,1,"Nova","Mizuki","550","lemon",200,"Zaki",350
"4",1,1,"Nova","Elliott","690","good",710,"Zaki",350
"5",1,2,"Golf","Gabriel","510","lemon",200,"Zaki",310
"6",1,3,"Fiesta","Mizuki","750","good",500,"Zaki",NA
"7",1,3,"Golf","Gabriel","510","lemon",200,"Zaki",NA
"8",1,3,"Nova","Elliott","540","lemon",360,"Zaki",NA
"9",1,3,"Fiesta","Job","510","lemon",490,"Zaki",NA
"10",1,4,"Fiesta","Jack","500","good",500,"Zaki",NA
"11",2,1,"Fiesta","Jack","425","good",975,"Xavy",575
"12",2,1,"Golf","Cara","475","lemon",575,"Xavy",575
"13",2,1,"Nova","Arthur","800","good",600,"Xavy",575
"14",2,1,"Golf","Owen","475","lemon",525,"Xavy",575
"15",2,1,"Fiesta","Daniel","600","good",800,"Xavy",575
"16",2,2,"Fiesta","Owen","599","good",801,"Xavy",649
"17",2,2,"Golf","Arthur","400","lemon",600,"Xavy",649
"18",2,2,"Nova","Jack","400","lemon",600,"Xavy",649
"19",2,2,"Nova","Cara","400","lemon",600,"Xavy",649
"20",2,2,"Golf","Daniel","250","lemon",750,"Xavy",649
"21",2,3,"Fiesta","Jack","500","good",900,"Xavy",525
"22",2,3,"Fiesta","Cara","475","good",925,"Xavy",525
"23",2,3,"Fiesta","Owen","400","lemon",600,"Xavy",525
"24",2,3,"Nova","Arthur","500","lemon",600,"Xavy",525
"25",2,3,"Nova","Daniel","500","lemon",500,"Xavy",525
"26",2,4,"Fiesta","Cara","550","good",850,"Xavy",400
"27",2,4,"Golf","Daniel","300","lemon",700,"Xavy",400
"28",2,4,"Nova","Arthur","500","good",800,"Xavy",400
"29",2,4,"Fiesta","Owen","550","good",850,"Xavy",400
"30",2,4,"Nova","Jack","500","lemon",500,"Xavy",400
