round, match, shot, s_k,    s_g,    goal
1,     1,     1,    Right,  Left,   FALSE
1,     1,     1,    Left,   Right,  FALSE
1,     1,     2,    Center, Center, FALSE
1,     1,     2,    Left,   Right,  FALSE
1,     1,     3,    Right,  Left,   FALSE
1,     1,     3,    ,       ,       FALSE
1,     1,     4,    ,       ,       FALSE
1,     1,     4,    ,       ,       FALSE
1,     1,     5,    ,       ,       FALSE
1,     1,     5,    ,       ,       FALSE
1,     2,     1,    Left,   Right,  TRUE
1,     2,     1,    Left,   Center, TRUE
1,     2,     2,    Right,  Left,   TRUE
1,     2,     2,    Left,   Center, TRUE
1,     2,     3,    Center, Left,   FALSE
1,     2,     3,    Right,  Center, TRUE
1,     2,     4,    Right,  Right,  FALSE
1,     2,     4,    Center, Center, FALSE
1,     2,     5,    Right,  Right,  TRUE
1,     2,     5,    ,       ,       FALSE
1,     3,     1,    Center, Left,   FALSE
1,     3,     1,    Left,   Center, TRUE
1,     3,     2,    Left,   Left,   TRUE
1,     3,     2,    Left,   Center, FALSE
1,     3,     3,    Center, Center, FALSE
1,     3,     3,    Right,  Center, TRUE
1,     3,     4,    Right,  Left,   TRUE
1,     3,     4,    Left,   Center, TRUE
1,     3,     5,    Right,  Right,  FALSE
1,     3,     5,    ,       ,       FALSE
1,     4,     1,    Right,  Left,   TRUE
1,     4,     1,    Center, Right,  FALSE
1,     4,     2,    Center, Left,   FALSE
1,     4,     2,    Left,   Left,   TRUE
1,     4,     3,    Right,  Left,   TRUE
1,     4,     3,    Left,   Right,  FALSE
1,     4,     4,    Center, Right,  FALSE
1,     4,     4,    Right,  Right,  TRUE
1,     4,     5,    Left,   Right,  TRUE
1,     4,     5,    Center, Right,  TRUE
1,     5,     1,    Center, Right,  TRUE
1,     5,     1,    Left,   Left,   FALSE
1,     5,     2,    Right,  Right,  TRUE
1,     5,     2,    Left,   Center, TRUE
1,     5,     3,    Center, Center, FALSE
1,     5,     3,    Left,   Left,   FALSE
1,     5,     4,    Right,  Left,   TRUE
1,     5,     4,    Right,  Center, TRUE
1,     5,     5,    Center, Center, FALSE
1,     5,     5,    Right,  Right,  FALSE
1,     6,     1,    Left,   Right,  TRUE
1,     6,     1,    Right,  Center, TRUE
1,     6,     2,    Center, Center, FALSE
1,     6,     2,    Left,   Right,  TRUE
1,     6,     3,    Right,  Right,  FALSE
1,     6,     3,    ,       ,       FALSE
1,     6,     4,    ,       ,       FALSE
1,     6,     4,    ,       ,       FALSE
1,     6,     5,    ,       ,       FALSE
1,     6,     5,    ,       ,       FALSE
1,     10,    1,    Left,   Left,   FALSE
1,     10,    1,    Right,  Center, TRUE
1,     10,    2,    Center, Right,  TRUE
1,     10,    2,    Left,   Left,   FALSE
1,     10,    3,    Right,  Right,  TRUE
1,     10,    3,    Right,  Right,  FALSE
1,     10,    4,    Center, Center, FALSE
1,     10,    4,    Right,  Left,   FALSE
1,     10,    5,    Right,  Center, TRUE
1,     10,    5,    Left,   Center, FALSE
1,     11,    1,    Left,   Left,   FALSE
1,     11,    1,    Right,  Right,  FALSE
1,     11,    2,    Center, Center, FALSE
1,     11,    2,    Center, Center, FALSE
1,     11,    3,    Right,  Right,  FALSE
1,     11,    3,    Center, Right,  TRUE
1,     11,    4,    Left,   Left,   FALSE
1,     11,    4,    Left,   Center, TRUE
1,     11,    5,    Left,   Left,   FALSE
1,     11,    5,    ,       ,       FALSE
