Round,Match,Half,Shot,Kick,Intercept
1,1,1,1,L,R
1,1,1,2,L,c
1,1,1,3,R,L
1,1,1,4,C,L
1,1,1,5,C,C
1,1,2,1,C,R
1,1,2,2,R ,R 
1,1,2,3,L,L
1,1,2,4,L,c 
1,1,2,5,r,c
1,2,1,1,C,C
1,2,1,2,C,R
1,2,1,3,C,L
1,2,1,4,L,C
1,2,1,5,L,C
1,2,2,1,R,R
1,2,2,2,R,R
1,2,2,3,C,C
1,2,2,4,C,R
1,2,2,5,L,C
1,3,1,1,Left,Middle
1,5,1,2,Middle,Right
1,5,1,3,Right,Right
1,5,1,4,Right,Middle
1,5,1,5,Left,Right
1,5,2,1,Middle,Middle
1,5,2,2,Left,Middle
1,5,2,3,Middle,Middle
1,5,2,4,Right,Left
1,5,2,5,Left,Left
1,6,1,1,right,middle
1,6,1,2,middle,right
1,6,1,3,middle,left
1,6,1,4,right,middle
1,6,1,5,right,right
1,6,2,1,right,left
1,6,2,2,middle,right
1,6,2,3,right,left
1,6,2,4,middle,middle
1,6,2,5,right,middle
1,7,1,1,Left,left
1,7,1,2,Center,left
1,7,1,3,Left,left
1,7,1,4,Center,right
1,7,1,5,left,center
1,7,2,1,Center,Center
1,7,2,2,Right,Left
1,7,2,3,Center,Left
1,7,2,4,Right,Center
1,7,2,5,Right,Left
1,8,1,1,c ,c 
1,8,1,2,l ,c 
1,8,1,3,l ,r
1,8,1,4,l ,l
1,8,1,5,r ,r 
1,8,2,1,c ,c 
1,8,2,2,c ,r 
1,8,2,3,c ,c 
1,8,2,4,l ,c 
1,8,2,5,l ,c 
1,9,1,1,C,C
1,9,1,2,L,R
1,9,1,3,L,L
1,9,1,4,L,C
1,9,1,5,C,R
1,9,2,1,C,C
1,9,2,2,R,R
1,9,2,3,R,R
1,9,2,4,R,L
1,9,2,5,R,L
1,10,1,1,Right,Left
1,10,1,2,Left,Right
1,10,1,3,Center,Center
1,10,1,4,Right,Left
1,10,1,5,Left,Center
1,10,2,1,Right,Right
1,10,2,2,center,Center
1,10,2,3,left,right
1,10,2,4,left,right
1,10,2,5,left,center
1,11,1,1,Right ,Left
1,11,1,2,Center,Cener
1,11,1,3,Left,Left
1,11,1,4,Right,Right
1,11,1,5,Right,Center
1,11,2,1,Right,Left
1,11,2,2,Center,Right
1,11,2,3,Right,Right
1,11,2,4,Center,Left
1,11,2,5,Left,Left
1,13,1,1,left,Middle
1,13,1,2,middle,Middle
1,13,1,3,left,Middle
1,13,1,4,right,Middle
1,13,1,5,Right,Middle
1,13,2,1,right,middle
1,13,2,2,right,right
1,13,2,3,middle,Left
1,13,2,4,left,middle
1,13,2,5,Right,Right
1,15,1,1,m,r
1,15,1,2,m,r
1,15,1,3,r,l
1,15,1,4,m,l
1,15,1,5,m,l
1,15,2,1,R,m
1,15,2,2,R,m
1,15,2,3,M,m
1,15,2,4,NA,already won
1,15,2,5,,
1,17,1,1,R,C
1,17,1,2,L,R
1,17,1,3,R,C
1,17,1,4,C,C
1,17,1,5,L,C
1,17,2,1,R,C
1,17,2,2,L,L
1,17,2,3,L,R
1,17,2,4,C,C
1,17,2,5,R,R
1,18,1,1,L,R
1,18,1,2,C,L
1,18,1,3,C,C
1,18,1,4,L,R
1,18,1,5,R,L
1,18,2,1,L,L
1,18,2,2,L,L
1,18,2,3,R,R
1,18,2,4,C,C
1,18,2,5,L,L
1,19,1,1,C,C
1,19,1,2,L,R
